; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/positions_8nt_m4/peak-motifs_positions_8nt_m4_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-380	-360	-370	1	1	5781	0.00017	0.00017	1.00000
-360	-340	-350	0	1	5780	0.00000	0.00017	0.99983
-340	-320	-330	0	1	5780	0.00000	0.00017	0.99983
-320	-300	-310	1	2	5780	0.00017	0.00035	0.99983
-300	-280	-290	2	4	5779	0.00035	0.00069	0.99965
-280	-260	-270	3	7	5777	0.00052	0.00121	0.99931
-260	-240	-250	4	11	5774	0.00069	0.00190	0.99879
-240	-220	-230	1	12	5770	0.00017	0.00208	0.99810
-220	-200	-210	4	16	5769	0.00069	0.00277	0.99792
-200	-180	-190	9	25	5765	0.00156	0.00432	0.99723
-180	-160	-170	14	39	5756	0.00242	0.00675	0.99568
-160	-140	-150	14	53	5742	0.00242	0.00917	0.99325
-140	-120	-130	21	74	5728	0.00363	0.01280	0.99083
-120	-100	-110	41	115	5707	0.00709	0.01989	0.98720
-100	-80	-90	45	160	5666	0.00778	0.02768	0.98011
-80	-60	-70	172	332	5621	0.02975	0.05743	0.97232
-60	-40	-50	465	797	5449	0.08044	0.13787	0.94257
-40	-20	-30	876	1673	4984	0.15153	0.28940	0.86213
-20	0	-10	1298	2971	4108	0.22453	0.51392	0.71060
0	20	10	1243	4214	2810	0.21501	0.72894	0.48608
20	40	30	834	5048	1567	0.14427	0.87321	0.27106
40	60	50	424	5472	733	0.07334	0.94655	0.12679
60	80	70	165	5637	309	0.02854	0.97509	0.05345
80	100	90	45	5682	144	0.00778	0.98287	0.02491
100	120	110	27	5709	99	0.00467	0.98755	0.01713
120	140	130	26	5735	72	0.00450	0.99204	0.01245
140	160	150	16	5751	46	0.00277	0.99481	0.00796
160	180	170	14	5765	30	0.00242	0.99723	0.00519
180	200	190	5	5770	16	0.00086	0.99810	0.00277
200	220	210	2	5772	11	0.00035	0.99844	0.00190
220	240	230	5	5777	9	0.00086	0.99931	0.00156
240	260	250	2	5779	4	0.00035	0.99965	0.00069
260	280	270	0	5779	2	0.00000	0.99965	0.00035
280	300	290	1	5780	2	0.00017	0.99983	0.00035
300	320	310	1	5781	1	0.00017	1.00000	0.00017
; Statistics:
; -----------
; class interval     	20
; classes            	35
; count              	5781
; sum                	-6746.5
; mean               	-1.16701
; median class       	[-40..-20[
; var                	2e+03
; std                	44.7065
; min                	-364.5
; max                	311.5
; range              	676
; Host name	rsat
; Job started	2014-09-03.103530
; Job done	2014-09-03.103530
; Seconds	0.3
;	user	0.3
;	system	0.01
;	cuser	0
;	csystem	0
