; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/positions_7nt_m4/peak-motifs_positions_7nt_m4_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-340	-320	-330	1	1	3018	0.00033	0.00033	1.00000
-320	-300	-310	0	1	3017	0.00000	0.00033	0.99967
-300	-280	-290	1	2	3017	0.00033	0.00066	0.99967
-280	-260	-270	2	4	3016	0.00066	0.00133	0.99934
-260	-240	-250	1	5	3014	0.00033	0.00166	0.99867
-240	-220	-230	3	8	3013	0.00099	0.00265	0.99834
-220	-200	-210	5	13	3010	0.00166	0.00431	0.99735
-200	-180	-190	2	15	3005	0.00066	0.00497	0.99569
-180	-160	-170	7	22	3003	0.00232	0.00729	0.99503
-160	-140	-150	13	35	2996	0.00431	0.01160	0.99271
-140	-120	-130	23	58	2983	0.00762	0.01922	0.98840
-120	-100	-110	34	92	2960	0.01127	0.03048	0.98078
-100	-80	-90	48	140	2926	0.01590	0.04639	0.96952
-80	-60	-70	121	261	2878	0.04009	0.08648	0.95361
-60	-40	-50	265	526	2757	0.08781	0.17429	0.91352
-40	-20	-30	448	974	2492	0.14844	0.32273	0.82571
-20	0	-10	578	1552	2044	0.19152	0.51425	0.67727
0	20	10	581	2133	1466	0.19251	0.70676	0.48575
20	40	30	442	2575	885	0.14645	0.85321	0.29324
40	60	50	203	2778	443	0.06726	0.92048	0.14679
60	80	70	97	2875	240	0.03214	0.95262	0.07952
80	100	90	47	2922	143	0.01557	0.96819	0.04738
100	120	110	22	2944	96	0.00729	0.97548	0.03181
120	140	130	29	2973	74	0.00961	0.98509	0.02452
140	160	150	19	2992	45	0.00630	0.99139	0.01491
160	180	170	8	3000	26	0.00265	0.99404	0.00861
180	200	190	4	3004	18	0.00133	0.99536	0.00596
200	220	210	4	3008	14	0.00133	0.99669	0.00464
220	240	230	4	3012	10	0.00133	0.99801	0.00331
240	260	250	2	3014	6	0.00066	0.99867	0.00199
260	280	270	0	3014	4	0.00000	0.99867	0.00133
280	300	290	3	3017	4	0.00099	0.99967	0.00133
300	320	310	0	3017	1	0.00000	0.99967	0.00033
320	340	330	0	3017	1	0.00000	0.99967	0.00033
340	360	350	0	3017	1	0.00000	0.99967	0.00033
360	380	370	0	3017	1	0.00000	0.99967	0.00033
380	400	390	0	3017	1	0.00000	0.99967	0.00033
400	420	410	1	3018	1	0.00033	1.00000	0.00033
; Statistics:
; -----------
; class interval     	20
; classes            	38
; count              	3018
; sum                	-3142
; mean               	-1.04109
; median class       	[-40..-20[
; var                	2.79e+03
; std                	52.8179
; min                	-331.5
; max                	409.5
; range              	741
; Host name	rsat
; Job started	2014-09-03.103009
; Job done	2014-09-03.103009
; Seconds	0.28
;	user	0.28
;	system	0.02
;	cuser	0
;	csystem	0
