; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/positions_8nt_m3/peak-motifs_positions_8nt_m3_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-360	-340	-350	1	1	4476	0.00022	0.00022	1.00000
-340	-320	-330	0	1	4475	0.00000	0.00022	0.99978
-320	-300	-310	0	1	4475	0.00000	0.00022	0.99978
-300	-280	-290	2	3	4475	0.00045	0.00067	0.99978
-280	-260	-270	2	5	4473	0.00045	0.00112	0.99933
-260	-240	-250	2	7	4471	0.00045	0.00156	0.99888
-240	-220	-230	3	10	4469	0.00067	0.00223	0.99844
-220	-200	-210	4	14	4466	0.00089	0.00313	0.99777
-200	-180	-190	15	29	4462	0.00335	0.00648	0.99687
-180	-160	-170	14	43	4447	0.00313	0.00961	0.99352
-160	-140	-150	15	58	4433	0.00335	0.01296	0.99039
-140	-120	-130	19	77	4418	0.00424	0.01720	0.98704
-120	-100	-110	26	103	4399	0.00581	0.02301	0.98280
-100	-80	-90	49	152	4373	0.01095	0.03396	0.97699
-80	-60	-70	130	282	4324	0.02904	0.06300	0.96604
-60	-40	-50	374	656	4194	0.08356	0.14656	0.93700
-40	-20	-30	686	1342	3820	0.15326	0.29982	0.85344
-20	0	-10	947	2289	3134	0.21157	0.51139	0.70018
0	20	10	936	3225	2187	0.20912	0.72051	0.48861
20	40	30	668	3893	1251	0.14924	0.86975	0.27949
40	60	50	344	4237	583	0.07685	0.94660	0.13025
60	80	70	109	4346	239	0.02435	0.97096	0.05340
80	100	90	41	4387	130	0.00916	0.98012	0.02904
100	120	110	26	4413	89	0.00581	0.98592	0.01988
120	140	130	16	4429	63	0.00357	0.98950	0.01408
140	160	150	12	4441	47	0.00268	0.99218	0.01050
160	180	170	13	4454	35	0.00290	0.99508	0.00782
180	200	190	11	4465	22	0.00246	0.99754	0.00492
200	220	210	4	4469	11	0.00089	0.99844	0.00246
220	240	230	2	4471	7	0.00045	0.99888	0.00156
240	260	250	1	4472	5	0.00022	0.99911	0.00112
260	280	270	0	4472	4	0.00000	0.99911	0.00089
280	300	290	2	4474	4	0.00045	0.99955	0.00089
300	320	310	1	4475	2	0.00022	0.99978	0.00045
320	340	330	1	4476	1	0.00022	1.00000	0.00022
; Statistics:
; -----------
; class interval     	20
; classes            	35
; count              	4476
; sum                	-7065
; mean               	-1.57842
; median class       	[-40..-20[
; var                	2.25e+03
; std                	47.4349
; min                	-353.5
; max                	336.5
; range              	690
; Host name	rsat
; Job started	2014-09-03.103457
; Job done	2014-09-03.103457
; Seconds	0.29
;	user	0.29
;	system	0.02
;	cuser	0
;	csystem	0
