; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/positions_7nt_m2/peak-motifs_positions_7nt_m2_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-400	-380	-390	1	1	4083	0.00024	0.00024	1.00000
-380	-360	-370	0	1	4082	0.00000	0.00024	0.99976
-360	-340	-350	0	1	4082	0.00000	0.00024	0.99976
-340	-320	-330	0	1	4082	0.00000	0.00024	0.99976
-320	-300	-310	0	1	4082	0.00000	0.00024	0.99976
-300	-280	-290	1	2	4082	0.00024	0.00049	0.99976
-280	-260	-270	1	3	4081	0.00024	0.00073	0.99951
-260	-240	-250	0	3	4080	0.00000	0.00073	0.99927
-240	-220	-230	1	4	4080	0.00024	0.00098	0.99927
-220	-200	-210	3	7	4079	0.00073	0.00171	0.99902
-200	-180	-190	7	14	4076	0.00171	0.00343	0.99829
-180	-160	-170	9	23	4069	0.00220	0.00563	0.99657
-160	-140	-150	8	31	4060	0.00196	0.00759	0.99437
-140	-120	-130	12	43	4052	0.00294	0.01053	0.99241
-120	-100	-110	30	73	4040	0.00735	0.01788	0.98947
-100	-80	-90	38	111	4010	0.00931	0.02719	0.98212
-80	-60	-70	123	234	3972	0.03012	0.05731	0.97281
-60	-40	-50	309	543	3849	0.07568	0.13299	0.94269
-40	-20	-30	612	1155	3540	0.14989	0.28288	0.86701
-20	0	-10	904	2059	2928	0.22141	0.50429	0.71712
0	20	10	908	2967	2024	0.22239	0.72667	0.49571
20	40	30	604	3571	1116	0.14793	0.87460	0.27333
40	60	50	300	3871	512	0.07348	0.94808	0.12540
60	80	70	107	3978	212	0.02621	0.97428	0.05192
80	100	90	43	4021	105	0.01053	0.98482	0.02572
100	120	110	22	4043	62	0.00539	0.99020	0.01518
120	140	130	16	4059	40	0.00392	0.99412	0.00980
140	160	150	9	4068	24	0.00220	0.99633	0.00588
160	180	170	6	4074	15	0.00147	0.99780	0.00367
180	200	190	4	4078	9	0.00098	0.99878	0.00220
200	220	210	1	4079	5	0.00024	0.99902	0.00122
220	240	230	0	4079	4	0.00000	0.99902	0.00098
240	260	250	2	4081	4	0.00049	0.99951	0.00098
260	280	270	1	4082	2	0.00024	0.99976	0.00049
280	300	290	1	4083	1	0.00024	1.00000	0.00024
; Statistics:
; -----------
; class interval     	20
; classes            	35
; count              	4083
; sum                	-5579
; mean               	-1.3664
; median class       	[-40..-20[
; var                	1.87e+03
; std                	43.2172
; min                	-395
; max                	293
; range              	688
; Host name	rsat
; Job started	2014-09-03.102901
; Job done	2014-09-03.102901
; Seconds	0.29
;	user	0.29
;	system	0.01
;	cuser	0
;	csystem	0
