; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/positions_6nt_m3/peak-motifs_positions_6nt_m3_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-320	-300	-310	2	2	605	0.00331	0.00331	1.00000
-300	-280	-290	1	3	603	0.00165	0.00496	0.99669
-280	-260	-270	0	3	602	0.00000	0.00496	0.99504
-260	-240	-250	0	3	602	0.00000	0.00496	0.99504
-240	-220	-230	2	5	602	0.00331	0.00826	0.99504
-220	-200	-210	1	6	600	0.00165	0.00992	0.99174
-200	-180	-190	2	8	599	0.00331	0.01322	0.99008
-180	-160	-170	1	9	597	0.00165	0.01488	0.98678
-160	-140	-150	5	14	596	0.00826	0.02314	0.98512
-140	-120	-130	8	22	591	0.01322	0.03636	0.97686
-120	-100	-110	7	29	583	0.01157	0.04793	0.96364
-100	-80	-90	19	48	576	0.03140	0.07934	0.95207
-80	-60	-70	23	71	557	0.03802	0.11736	0.92066
-60	-40	-50	41	112	534	0.06777	0.18512	0.88264
-40	-20	-30	75	187	493	0.12397	0.30909	0.81488
-20	0	-10	108	295	418	0.17851	0.48760	0.69091
0	20	10	97	392	310	0.16033	0.64793	0.51240
20	40	30	83	475	213	0.13719	0.78512	0.35207
40	60	50	62	537	130	0.10248	0.88760	0.21488
60	80	70	23	560	68	0.03802	0.92562	0.11240
80	100	90	10	570	45	0.01653	0.94215	0.07438
100	120	110	13	583	35	0.02149	0.96364	0.05785
120	140	130	4	587	22	0.00661	0.97025	0.03636
140	160	150	8	595	18	0.01322	0.98347	0.02975
160	180	170	5	600	10	0.00826	0.99174	0.01653
180	200	190	2	602	5	0.00331	0.99504	0.00826
200	220	210	2	604	3	0.00331	0.99835	0.00496
220	240	230	0	604	1	0.00000	0.99835	0.00165
240	260	250	0	604	1	0.00000	0.99835	0.00165
260	280	270	0	604	1	0.00000	0.99835	0.00165
280	300	290	0	604	1	0.00000	0.99835	0.00165
300	320	310	0	604	1	0.00000	0.99835	0.00165
320	340	330	0	604	1	0.00000	0.99835	0.00165
340	360	350	0	604	1	0.00000	0.99835	0.00165
360	380	370	0	604	1	0.00000	0.99835	0.00165
380	400	390	1	605	1	0.00165	1.00000	0.00165
; Statistics:
; -----------
; class interval     	20
; classes            	36
; count              	605
; sum                	331
; mean               	0.547107
; median class       	[-20..0[
; var                	4.27e+03
; std                	65.332
; min                	-309
; max                	398
; range              	707
; Host name	rsat
; Job started	2014-09-03.102418
; Job done	2014-09-03.102418
; Seconds	0.27
;	user	0.27
;	system	0.01
;	cuser	0
;	csystem	0
