; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/positions_8nt_m5/peak-motifs_positions_8nt_m5_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-360	-340	-350	1	1	2811	0.00036	0.00036	1.00000
-340	-320	-330	0	1	2810	0.00000	0.00036	0.99964
-320	-300	-310	0	1	2810	0.00000	0.00036	0.99964
-300	-280	-290	2	3	2810	0.00071	0.00107	0.99964
-280	-260	-270	0	3	2808	0.00000	0.00107	0.99893
-260	-240	-250	2	5	2808	0.00071	0.00178	0.99893
-240	-220	-230	1	6	2806	0.00036	0.00213	0.99822
-220	-200	-210	3	9	2805	0.00107	0.00320	0.99787
-200	-180	-190	3	12	2802	0.00107	0.00427	0.99680
-180	-160	-170	10	22	2799	0.00356	0.00783	0.99573
-160	-140	-150	7	29	2789	0.00249	0.01032	0.99217
-140	-120	-130	4	33	2782	0.00142	0.01174	0.98968
-120	-100	-110	13	46	2778	0.00462	0.01636	0.98826
-100	-80	-90	27	73	2765	0.00961	0.02597	0.98364
-80	-60	-70	82	155	2738	0.02917	0.05514	0.97403
-60	-40	-50	211	366	2656	0.07506	0.13020	0.94486
-40	-20	-30	448	814	2445	0.15937	0.28958	0.86980
-20	0	-10	594	1408	1997	0.21131	0.50089	0.71042
0	20	10	641	2049	1403	0.22803	0.72892	0.49911
20	40	30	417	2466	762	0.14835	0.87727	0.27108
40	60	50	200	2666	345	0.07115	0.94842	0.12273
60	80	70	82	2748	145	0.02917	0.97759	0.05158
80	100	90	25	2773	63	0.00889	0.98648	0.02241
100	120	110	9	2782	38	0.00320	0.98968	0.01352
120	140	130	10	2792	29	0.00356	0.99324	0.01032
140	160	150	6	2798	19	0.00213	0.99538	0.00676
160	180	170	4	2802	13	0.00142	0.99680	0.00462
180	200	190	3	2805	9	0.00107	0.99787	0.00320
200	220	210	1	2806	6	0.00036	0.99822	0.00213
220	240	230	2	2808	5	0.00071	0.99893	0.00178
240	260	250	1	2809	3	0.00036	0.99929	0.00107
260	280	270	1	2810	2	0.00036	0.99964	0.00071
280	300	290	1	2811	1	0.00036	1.00000	0.00036
; Statistics:
; -----------
; class interval     	20
; classes            	33
; count              	2811
; sum                	-3987
; mean               	-1.41836
; median class       	[-40..-20[
; var                	1.93e+03
; std                	43.9485
; min                	-355
; max                	293
; range              	648
; Host name	rsat
; Job started	2014-09-03.103602
; Job done	2014-09-03.103602
; Seconds	0.28
;	user	0.28
;	system	0.01
;	cuser	0
;	csystem	0
