; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/positions_7nt_m3/peak-motifs_positions_7nt_m3_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-340	-320	-330	1	1	4241	0.00024	0.00024	1.00000
-320	-300	-310	0	1	4240	0.00000	0.00024	0.99976
-300	-280	-290	0	1	4240	0.00000	0.00024	0.99976
-280	-260	-270	0	1	4240	0.00000	0.00024	0.99976
-260	-240	-250	3	4	4240	0.00071	0.00094	0.99976
-240	-220	-230	1	5	4237	0.00024	0.00118	0.99906
-220	-200	-210	7	12	4236	0.00165	0.00283	0.99882
-200	-180	-190	10	22	4229	0.00236	0.00519	0.99717
-180	-160	-170	16	38	4219	0.00377	0.00896	0.99481
-160	-140	-150	17	55	4203	0.00401	0.01297	0.99104
-140	-120	-130	26	81	4186	0.00613	0.01910	0.98703
-120	-100	-110	33	114	4160	0.00778	0.02688	0.98090
-100	-80	-90	57	171	4127	0.01344	0.04032	0.97312
-80	-60	-70	141	312	4070	0.03325	0.07357	0.95968
-60	-40	-50	329	641	3929	0.07758	0.15114	0.92643
-40	-20	-30	631	1272	3600	0.14879	0.29993	0.84886
-20	0	-10	894	2166	2969	0.21080	0.51073	0.70007
0	20	10	918	3084	2075	0.21646	0.72719	0.48927
20	40	30	552	3636	1157	0.13016	0.85734	0.27281
40	60	50	312	3948	605	0.07357	0.93091	0.14266
60	80	70	134	4082	293	0.03160	0.96251	0.06909
80	100	90	55	4137	159	0.01297	0.97548	0.03749
100	120	110	32	4169	104	0.00755	0.98302	0.02452
120	140	130	26	4195	72	0.00613	0.98915	0.01698
140	160	150	14	4209	46	0.00330	0.99245	0.01085
160	180	170	11	4220	32	0.00259	0.99505	0.00755
180	200	190	11	4231	21	0.00259	0.99764	0.00495
200	220	210	4	4235	10	0.00094	0.99859	0.00236
220	240	230	0	4235	6	0.00000	0.99859	0.00141
240	260	250	3	4238	6	0.00071	0.99929	0.00141
260	280	270	1	4239	3	0.00024	0.99953	0.00071
280	300	290	0	4239	2	0.00000	0.99953	0.00047
300	320	310	0	4239	2	0.00000	0.99953	0.00047
320	340	330	2	4241	2	0.00047	1.00000	0.00047
; Statistics:
; -----------
; class interval     	20
; classes            	34
; count              	4241
; sum                	-5341.5
; mean               	-1.25949
; median class       	[-40..-20[
; var                	2.4e+03
; std                	48.9712
; min                	-335.5
; max                	334.5
; range              	670
; Host name	rsat
; Job started	2014-09-03.102935
; Job done	2014-09-03.102935
; Seconds	0.29
;	user	0.29
;	system	0.01
;	cuser	0
;	csystem	0
