; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/positions_6nt_m2/peak-motifs_positions_6nt_m2_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-500	-480	-490	1	1	4988	0.00020	0.00020	1.00000
-480	-460	-470	0	1	4987	0.00000	0.00020	0.99980
-460	-440	-450	0	1	4987	0.00000	0.00020	0.99980
-440	-420	-430	0	1	4987	0.00000	0.00020	0.99980
-420	-400	-410	0	1	4987	0.00000	0.00020	0.99980
-400	-380	-390	0	1	4987	0.00000	0.00020	0.99980
-380	-360	-370	0	1	4987	0.00000	0.00020	0.99980
-360	-340	-350	0	1	4987	0.00000	0.00020	0.99980
-340	-320	-330	2	3	4987	0.00040	0.00060	0.99980
-320	-300	-310	0	3	4985	0.00000	0.00060	0.99940
-300	-280	-290	0	3	4985	0.00000	0.00060	0.99940
-280	-260	-270	2	5	4985	0.00040	0.00100	0.99940
-260	-240	-250	3	8	4983	0.00060	0.00160	0.99900
-240	-220	-230	2	10	4980	0.00040	0.00200	0.99840
-220	-200	-210	3	13	4978	0.00060	0.00261	0.99800
-200	-180	-190	3	16	4975	0.00060	0.00321	0.99739
-180	-160	-170	14	30	4972	0.00281	0.00601	0.99679
-160	-140	-150	19	49	4958	0.00381	0.00982	0.99399
-140	-120	-130	28	77	4939	0.00561	0.01544	0.99018
-120	-100	-110	43	120	4911	0.00862	0.02406	0.98456
-100	-80	-90	56	176	4868	0.01123	0.03528	0.97594
-80	-60	-70	157	333	4812	0.03148	0.06676	0.96472
-60	-40	-50	389	722	4655	0.07799	0.14475	0.93324
-40	-20	-30	774	1496	4266	0.15517	0.29992	0.85525
-20	0	-10	1056	2552	3492	0.21171	0.51163	0.70008
0	20	10	1019	3571	2436	0.20429	0.71592	0.48837
20	40	30	688	4259	1417	0.13793	0.85385	0.28408
40	60	50	372	4631	729	0.07458	0.92843	0.14615
60	80	70	165	4796	357	0.03308	0.96151	0.07157
80	100	90	70	4866	192	0.01403	0.97554	0.03849
100	120	110	41	4907	122	0.00822	0.98376	0.02446
120	140	130	31	4938	81	0.00621	0.98998	0.01624
140	160	150	11	4949	50	0.00221	0.99218	0.01002
160	180	170	12	4961	39	0.00241	0.99459	0.00782
180	200	190	5	4966	27	0.00100	0.99559	0.00541
200	220	210	7	4973	22	0.00140	0.99699	0.00441
220	240	230	5	4978	15	0.00100	0.99800	0.00301
240	260	250	2	4980	10	0.00040	0.99840	0.00200
260	280	270	4	4984	8	0.00080	0.99920	0.00160
280	300	290	2	4986	4	0.00040	0.99960	0.00080
300	320	310	0	4986	2	0.00000	0.99960	0.00040
320	340	330	1	4987	2	0.00020	0.99980	0.00040
340	360	350	1	4988	1	0.00020	1.00000	0.00020
; Statistics:
; -----------
; class interval     	20
; classes            	43
; count              	4988
; sum                	-3211
; mean               	-0.643745
; median class       	[-40..-20[
; var                	2.4e+03
; std                	48.9812
; min                	-493
; max                	346
; range              	839
; Host name	rsat
; Job started	2014-09-03.102344
; Job done	2014-09-03.102345
; Seconds	0.29
;	user	0.3
;	system	0.01
;	cuser	0
;	csystem	0
