; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/positions_6nt_m1/peak-motifs_positions_6nt_m1_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-360	-340	-350	1	1	5803	0.00017	0.00017	1.00000
-340	-320	-330	1	2	5802	0.00017	0.00034	0.99983
-320	-300	-310	1	3	5801	0.00017	0.00052	0.99966
-300	-280	-290	1	4	5800	0.00017	0.00069	0.99948
-280	-260	-270	1	5	5799	0.00017	0.00086	0.99931
-260	-240	-250	3	8	5798	0.00052	0.00138	0.99914
-240	-220	-230	4	12	5795	0.00069	0.00207	0.99862
-220	-200	-210	4	16	5791	0.00069	0.00276	0.99793
-200	-180	-190	19	35	5787	0.00327	0.00603	0.99724
-180	-160	-170	22	57	5768	0.00379	0.00982	0.99397
-160	-140	-150	25	82	5746	0.00431	0.01413	0.99018
-140	-120	-130	42	124	5721	0.00724	0.02137	0.98587
-120	-100	-110	46	170	5679	0.00793	0.02930	0.97863
-100	-80	-90	86	256	5633	0.01482	0.04412	0.97070
-80	-60	-70	196	452	5547	0.03378	0.07789	0.95588
-60	-40	-50	467	919	5351	0.08048	0.15837	0.92211
-40	-20	-30	859	1778	4884	0.14803	0.30639	0.84163
-20	0	-10	1169	2947	4025	0.20145	0.50784	0.69361
0	20	10	1185	4132	2856	0.20420	0.71205	0.49216
20	40	30	813	4945	1671	0.14010	0.85215	0.28795
40	60	50	427	5372	858	0.07358	0.92573	0.14785
60	80	70	171	5543	431	0.02947	0.95520	0.07427
80	100	90	80	5623	260	0.01379	0.96898	0.04480
100	120	110	50	5673	180	0.00862	0.97760	0.03102
120	140	130	42	5715	130	0.00724	0.98484	0.02240
140	160	150	30	5745	88	0.00517	0.99001	0.01516
160	180	170	18	5763	58	0.00310	0.99311	0.00999
180	200	190	21	5784	40	0.00362	0.99673	0.00689
200	220	210	7	5791	19	0.00121	0.99793	0.00327
220	240	230	2	5793	12	0.00034	0.99828	0.00207
240	260	250	4	5797	10	0.00069	0.99897	0.00172
260	280	270	2	5799	6	0.00034	0.99931	0.00103
280	300	290	1	5800	4	0.00017	0.99948	0.00069
300	320	310	0	5800	3	0.00000	0.99948	0.00052
320	340	330	2	5802	3	0.00034	0.99983	0.00052
340	360	350	0	5802	1	0.00000	0.99983	0.00017
360	380	370	1	5803	1	0.00017	1.00000	0.00017
; Statistics:
; -----------
; class interval     	20
; classes            	37
; count              	5803
; sum                	-6923
; mean               	-1.193
; median class       	[-40..-20[
; var                	2.69e+03
; std                	51.8472
; min                	-353
; max                	377
; range              	730
; Host name	rsat
; Job started	2014-09-03.102311
; Job done	2014-09-03.102311
; Seconds	0.3
;	user	0.3
;	system	0.01
;	cuser	0
;	csystem	0
