; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/positions_7nt_m1/peak-motifs_positions_7nt_m1_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-300	-280	-290	1	1	6907	0.00014	0.00014	1.00000
-280	-260	-270	0	1	6906	0.00000	0.00014	0.99986
-260	-240	-250	5	6	6906	0.00072	0.00087	0.99986
-240	-220	-230	5	11	6901	0.00072	0.00159	0.99913
-220	-200	-210	7	18	6896	0.00101	0.00261	0.99841
-200	-180	-190	16	34	6889	0.00232	0.00492	0.99739
-180	-160	-170	21	55	6873	0.00304	0.00796	0.99508
-160	-140	-150	25	80	6852	0.00362	0.01158	0.99204
-140	-120	-130	47	127	6827	0.00680	0.01839	0.98842
-120	-100	-110	58	185	6780	0.00840	0.02678	0.98161
-100	-80	-90	88	273	6722	0.01274	0.03953	0.97322
-80	-60	-70	218	491	6634	0.03156	0.07109	0.96047
-60	-40	-50	559	1050	6416	0.08093	0.15202	0.92891
-40	-20	-30	1042	2092	5857	0.15086	0.30288	0.84798
-20	0	-10	1415	3507	4815	0.20486	0.50775	0.69712
0	20	10	1428	4935	3400	0.20675	0.71449	0.49225
20	40	30	964	5899	1972	0.13957	0.85406	0.28551
40	60	50	528	6427	1008	0.07644	0.93051	0.14594
60	80	70	194	6621	480	0.02809	0.95859	0.06949
80	100	90	86	6707	286	0.01245	0.97104	0.04141
100	120	110	61	6768	200	0.00883	0.97988	0.02896
120	140	130	41	6809	139	0.00594	0.98581	0.02012
140	160	150	29	6838	98	0.00420	0.99001	0.01419
160	180	170	27	6865	69	0.00391	0.99392	0.00999
180	200	190	17	6882	42	0.00246	0.99638	0.00608
200	220	210	7	6889	25	0.00101	0.99739	0.00362
220	240	230	7	6896	18	0.00101	0.99841	0.00261
240	260	250	5	6901	11	0.00072	0.99913	0.00159
260	280	270	1	6902	6	0.00014	0.99928	0.00087
280	300	290	1	6903	5	0.00014	0.99942	0.00072
300	320	310	1	6904	4	0.00014	0.99957	0.00058
320	340	330	3	6907	3	0.00043	1.00000	0.00043
; Statistics:
; -----------
; class interval     	20
; classes            	32
; count              	6907
; sum                	-5770
; mean               	-0.835384
; median class       	[-40..-20[
; var                	2.5e+03
; std                	49.9782
; min                	-294
; max                	337
; range              	631
; Host name	rsat
; Job started	2014-09-03.102826
; Job done	2014-09-03.102826
; Seconds	0.31
;	user	0.31
;	system	0.01
;	cuser	0
;	csystem	0
